,speaker,video_ids,videos,views,topics,average_views
3637,Rahul Mehrotra,[45466],1,2014705,"['sustainability, design, architecture, cities, urban planning, art, resources']",2014705.0
3638,Rahwa Ghirmatzion,[66881],1,1366605,"['climate change, environment, social change, community, activism, leadership, Countdown']",1366605.0
3639,Rainer Strack,[2144],1,2192892,"['global issues, business, work, productivity']",2192892.0
3640,Rainn Wilson,[83686],1,11511,"['climate change, humor, Countdown']",11511.0
3641,Raj Jayadev,[45045],1,1728988,"['social change, community, activism, law, crime, TEDx, justice system']",1728988.0
139,Alexander MacDonald,[37861],1,1825005,"['science, rocket science, history, storytelling, astronomy, universe, exploration, Moon, Planets, space, TED Fellows, TEDx']",1825005.0
3643,Raja Rajamannar,[140439],1,414822,"['culture, business, social change, marketing']",414822.0
3644,Rajeev Ronanki,[121093],1,15319,"['technology, design, health, creativity, work, AI, data, ethics']",15319.0
3645,Rajesh Rao,[1180],1,2523564,"['science, computers, history, language']",2523564.0
3646,Rajiv Maheswaran,[2294],1,2989932,"['technology, sports, visualizations, math']",2989932.0
3647,Ralph Chami,[98274],1,1701685,"['climate change, environment, science, business, economics, animals, nature, money, finance, conservation, Countdown']",1701685.0
3648,Ralph Langner,[1107],1,1744877,"['science, technology, computers, war, government, Middle East, nuclear energy']",1744877.0
3649,Ralph Nader,[67581],1,195139,"['environment, politics, transportation, activism, work, democracy, policy']",195139.0
3650,Ramanan Laxminarayan,[2132],1,1126209,"['global issues, economics, health, medicine, medical research, drugs']",1126209.0
3651,Ramesh Raskar,[1520],1,5738514,"['technology, invention, innovation, photography']",5738514.0
3652,Ramez Naam,[109100],1,1400463,"['technology, economics, future, energy, solar energy, wind energy, electricity, Countdown, renewable energy']",1400463.0
3653,Ramona Pierson,[1305],1,433639,"['culture, health care, storytelling, aging, medicine, self, TEDx']",433639.0
3654,Ramsey Musallam,[1731],1,3500293,"['science, technology, education, social change, creativity, curiosity, chemistry, teaching']",3500293.0
3655,Ramón Méndez Galain,[117838],1,720206,"['climate change, politics, science, sustainability, social change, energy, natural resources, Countdown, renewable energy']",720206.0
3656,Rana Abdelhamid,[37787],1,1992906,"['social change, gender, community, activism, women, society, identity']",1992906.0
3657,Rana Novack,[10369],1,14658,"['technology, data, immigration, refugees']",14658.0
3658,Rana el Kaliouby,[2279],1,1854674,"['technology, computers, psychology, compassion, emotions']",1854674.0
3659,Randall Munroe,[1993],1,4531445,"['science, computers, art, physics, comedy, humor, math, data']",4531445.0
3660,Randy Seriguchi Jr.,[128249],1,549258,"['collaboration, education, social change, race, work, TED-Ed']",549258.0
3661,Rania Bahaa,[20468],1,8996,"['environment, sustainability, society']",8996.0
3662,Ranveer Chandra,[21743],1,90928,"['technology, food, future, agriculture, data, farming']",90928.0
3663,Raphael Arar,[12498],1,1365173,"['technology, computers, art, future, AI, emotions']",1365173.0
3664,Raphael Rose,[36765],1,504631,"['health, psychology, success, personal growth, emotions']",504631.0
140,Alexander McLean,[19061],1,13469,"['Africa, society, prison']",13469.0
3666,Rasmus Ankersen,[99460],1,1635551,"['business, sports, success, decision-making, TEDx, data']",1635551.0
3667,Raspyni Brothers,[223],1,870267,"['entertainment, collaboration, physics, humor']",870267.0
141,Alexander Tsiaras,[1270],1,9148437,"['science, design, biotech, visualizations, medical research, medical imaging, pregnancy, human body, Best of the Web']",9148437.0
3669,Ravin Agrawal,[743],1,528608,"['design, art, future, Asia, india']",528608.0
3670,Ray Anderson,[547],1,1342028,"['environment, sustainability, technology, design, engineering, business, poetry']",1342028.0
3671,Ray Dalio,[2859],1,4508751,"['technology, business, collaboration, innovation, communication, leadership, work, personal growth, decision-making, algorithm, investing']",4508751.0
142,Alexander Tuerpitz,[3699],1,10617,"['business, community, leadership, work, society']",10617.0
3673,Ray Zahab,[586],1,398555,"['global issues, Antarctica']",398555.0
3674,Rayma Suprani,[57063],1,506536,"['media, creativity, art, humor, democracy, journalism, immigration']",506536.0
3675,Raymond Tang,[11008],1,4608914,"['philosophy, success, motivation, personal growth, water, humanity']",4608914.0
3676,Raymond Wang,[2391],1,1997351,"['science, design, engineering, invention, flight, transportation, innovation, health, physics, illness, bacteria']",1997351.0
3677,Read Montague,[1573],1,827131,"['science, economics, software, disease, cognitive science, psychology, biology, community, brain, decision-making, gaming, sociology, mental health, neuroscience, medical research, behavioral economics, code, medical imaging, drugs']",827131.0
143,Alexander Wagner,[2835],1,2010372,"['business, corruption, economics, motivation, society, TEDx, finance']",2010372.0
3679,Rebecca Collyer,[117489],1,738259,"['climate change, global issues, social change, philanthropy, energy, solar energy, wind energy, The Audacious Project, Countdown, renewable energy']",738259.0
3680,Rebecca Darwent,[109967],1,1063743,"['business, social change, community, race, philanthropy, humanity, money, equality']",1063743.0
3681,Rebecca Firth,[65136],1,1779026,"['global issues, technology, software, social change, natural disaster, Internet, data, infrastructure, The Audacious Project, international development, maps']",1779026.0
3682,Rebecca Galemba,[81821],1,1989194,"['business, economics, social change, United States, work, TEDx, immigration']",1989194.0
3683,Rebecca Henderson,[66817],1,1802285,"['climate change, environment, business, economics, innovation, leadership, capitalism, Countdown']",1802285.0
3684,Rebecca Knill,[59159],1,3150622,"['technology, design, social change, personal growth, society, disability, hearing']",3150622.0
3685,Rebecca Love,[30664],1,222342,"['science, design, health, health care, medicine']",222342.0
144,Alexandr Wang,[113936],1,1342945,"['technology, war, AI, drones, government']",1342945.0
3687,Rebecca McMackin,[127367],1,1322425,"['climate change, environment, science, design, animals, nature, personal growth, biodiversity, trees, ecology, plants, gardening, wildlife']",1322425.0
3688,Rebecca Newberger Goldstein,[1948],1,1196901,"['culture, psychology, philosophy, brain, consciousness']",1196901.0
145,Alexandra Auer,[60081],1,2173724,"['design, social change, community, humanity, society, identity, TEDx']",2173724.0
3690,Rebecca Saxe,[630],1,3622437,"['science, technology, brain, ethics']",3622437.0
3691,Rebekah Shirley,[107886],1,1313697,"['climate change, global issues, sustainability, business, Africa, future, energy, solar energy, finance, Countdown']",1313697.0
3692,Reed Hastings,[16913],1,2287076,"['culture, technology, business, education, innovation, creativity, art, film, algorithm, television']",2287076.0
3693,Reed J. Williams,[125620],1,519419,"['social change, community, photography, personal growth, family, identity, Transgender, LGBTQIA+']",519419.0
3694,Reed Kroloff,[318],1,339443,"['design, business, architecture, art, humor']",339443.0
3695,Reeps One,[89559],1,368974,"['music, performance, Countdown']",368974.0
146,Alexandra Sacks,[22701],1,2390868,"['science, health, psychology, biology, parenting, women, humanity, mental health, pregnancy, TED Residency, kids']",2390868.0
147,Alexandria Holder,[81664],1,37708,"['military, community, personal growth, self, identity, LGBTQIA+']",37708.0
3698,Regina Dugan,[1402],1,1821812,"['science, technology, design, engineering, invention, military, flight, rocket science, innovation, robots, health, nature, biology, biomimicry, community, product design, physics, prosthetics, drones, Vaccines, birds, neuroscience, Internet, weather, kids, nanotechnology']",1821812.0
3699,Regina Mossotti,[118313],1,13661,"['science, animals, biology, biodiversity, conservation']",13661.0
3700,Rei,[12459],1,624784,"['entertainment, music, performance']",624784.0
3701,Reid Hoffman,[121095],1,18636,"['technology, innovation, creativity, AI']",18636.0
3702,Renata Salecl,[2044],1,1692615,"['culture, social change, decision-making']",1692615.0
3703,Renata di Tullio,[29688],1,8689,"['global issues, science, sustainability, food, insects']",8689.0
3704,Renee Montgomery,[68976],1,1451016,"['business, community, activism, race, personal growth, inclusion, equality']",1451016.0
3705,Reniqua Allen,[38078],1,2285202,"['success, work, personal growth, diversity, equality']",2285202.0
148,Alexis Charpentier,[8422],1,1041494,"['culture, music, art, TEDx']",1041494.0
3707,Renzo Piano,[20259],1,1655393,"['culture, design, architecture, creativity, art, community, humanity, society, beauty']",1655393.0
149,Alexis Gambis,[49392],1,43874,"['science, art, film, TED Fellows']",43874.0
3709,Renée Lertzman,[57475],1,2260854,"['climate change, culture, environment, health care, psychology, personal growth, humanity, mental health, compassion, empathy, society, emotions']",2260854.0
3710,Reshma Saujani,[2448],1,6728673,"['computers, software, education, innovation, social change, future, motivation, personal growth, potential, women, code, teaching, kids, equality']",6728673.0
150,Alexis Jones,[21972],1,1130011,"['social change, gender, sports, women, sex, identity, sexual violence']",1130011.0
3712,Resson Kantai Duff,[89789],1,1602993,"['environment, social change, Africa, animals, nature, community, conservation']",1602993.0
3713,Reuben Jonathan Miller,[86167],1,1750195,"['social change, United States, law, prison, justice system']",1750195.0
3714,Reuben Margolin,[1435],1,722188,"['culture, design, nature, art']",722188.0
3715,Rev. Liz Theoharis,[41914],1,15242,"['social change, activism, ethics']",15242.0
3716,Rev. William Barber,[41914],1,15242,"['social change, activism, ethics']",15242.0
3717,Reza Varzidehkar,[111752],1,59916,"['business, entrepreneur, communication, community, work']",59916.0
3718,Rha Goddess,[87481],1,1793348,"['business, gender, race, work, women, women in business']",1793348.0
3719,Rhaina Cohen,[140318],1,659176,"['love, relationships, community, personal growth, friendship, emotions']",659176.0
3720,Rhiannon Giddens,[2795],1,1698668,"['entertainment, music, performance, history']",1698668.0
3721,Ric Elias,[1130],1,8914412,"['business, transportation, storytelling']",8914412.0
3722,Ricardo Coler,[97159],1,71192,"['TEDx, TED en Español']",71192.0
3723,Ricardo Iacub,[63280],1,870357,"['psychology, relationships, aging, sex, society, TEDx, TED en Español, emotions']",870357.0
3724,Ricardo Semler,[2182],1,4015653,"['business, creativity, philosophy, leadership, work']",4015653.0
3725,Riccardo Loconte,[144181],1,364351,"['technology, computers, psychology, communication, AI, artificial intelligence']",364351.0
3726,Riccardo Sabatini,[2490],1,2127130,"['science, technology, DNA, biotech, genetics, disease, health, nature, biology, future, medicine, potential, decision-making, humanity, identity, medical research, machine learning']",2127130.0
3727,Rich Benjamin,[2308],1,2891042,"['culture, race, United States']",2891042.0
3728,Rich Powell,[122192],1,661040,"['climate change, environment, politics, sustainability, business, social change, energy, policy, electricity, Countdown, renewable energy']",661040.0
3729,Richard Baraniuk,[25],1,1170732,"['culture, global issues, technology, business, software, collaboration, library']",1170732.0
3730,Richard Bona,[46579],1,925859,"['music, performance']",925859.0
3731,Richard Branson,[181],1,2030672,"['global issues, technology, business, entrepreneur, flight, entertainment, music, interview, space']",2030672.0
3732,Richard Browning,[2804],1,2433175,"['technology, design, engineering, invention, entrepreneur, flight, collaboration, innovation, future, demo, motivation, potential']",2433175.0
